;instrukcja, kod, ilo˜† parametrow, param1, param2, param3, czy mozna zaufac?
;znacznik 'czy mozna zaufac' odnosi sie do instrukcji z parametrem
;tpData16, tpCode8, tpCode11, tpCode16
acall,	11h,	1,	tpCode11,	tpNieznany,	tpNieznany,	t
ajmp,	01h,	1,	tpCode11,	tpNieznany,	tpNieznany,	t

add,	28h,	2, 	tpACC,		tpRn,		tpNieznany,	n
add,	25h,	2,	tpACC,		tpRAMAddr,	tpNieznany,	n
add,	26h,	2,	tpACC,		tpRi,		tpNieznany,	n
add,	24h,	2,	tpACC,		tpData8,	tpNieznany,	n

addc,	38h,	2, 	tpACC,		tpRn,		tpNieznany,	n
addc,	35h,	2,	tpACC,		tpRAMAddr,	tpNieznany,	n
addc,	36h,	2,	tpACC,		tpRi,		tpNieznany,	n
addc,	34h,	2,	tpACC,		tpData8,	tpNieznany,	n

anl,	58h,	2, 	tpACC,		tpRn,		tpNieznany,	n
anl,	55h,	2,	tpACC,		tpRAMAddr,	tpNieznany,	n
anl,	56h,	2,	tpACC,		tpRi,		tpNieznany,	n
anl,	54h,	2,	tpACC,		tpData8,	tpNieznany,	n
anl,	52h,	2,	tpRAMAddr,	tpACC,		tpNieznany,	n
anl,	53h,	2,	tpRAMAddr,	tpData8,	tpNieznany,	n
anl,	82h,	2,	tpC,		tpBit,		tpNieznany,	n
anl,	B0h,	2,	tpC,		tpNegBit,	tpNieznany,	n

cjne,	B5h,	3,	tpACC,		tpRAMAddr,	tpCode8,	t
cjne,	B4h,	3,	tpACC,		tpData8,	tpCode8,	t
cjne,	B8h,	3,	tpRn,		tpData8,	tpCode8,	t
cjne,	B6h,	3,	tpRi,		tpData8,	tpCode8,	t

clr,	E4h,	1,	tpACC,		tpNieznany,	tpNieznany,	n
clr,	C3h,	1,	tpC,		tpNieznany,	tpNieznany,	n
clr,	C2h,	1,	tpBit,		tpNieznany,	tpNieznany,	n

cpl,	F4h,	1,	tpACC,		tpNieznany,	tpNieznany,	n
cpl,	B3h,	1,	tpC,		tpNieznany,	tpNieznany,	n
cpl,	B2h,	1,	tpBit,		tpNieznany,	tpNieznany,	n

da,	D4h,	1,	tpACC,		tpNieznany,	tpNieznany,	n

dec,	14h,	1,	tpACC,		tpNieznany,	tpNieznany,	n
dec,	18h,	1,	tpRn,		tpNieznany,	tpNieznany,	n
dec,	15h,	1,	tpRAMAddr,	tpNieznany,	tpNieznany,	n
dec,	16h,	1,	tpRi,		tpNieznany,	tpNieznany,	n

djnz,	D8h,	2,	tpRn,		tpCode8,	tpNieznany,	t
djnz,	D5h,	2,	tpRAMAddr,	tpCode8,	tpNieznany,	t

inc,	04h,	1,	tpACC,		tpNieznany,	tpNieznany,	n
inc,	08h,	1,	tpRn,		tpNieznany,	tpNieznany,	n
inc,	05h,	1,	tpRAMAddr,	tpNieznany,	tpNieznany,	n
inc,	06h,	1,	tpRi,		tpNieznany,	tpNieznany,	n
inc,	A3h,	1,	tpDPTR,		tpNieznany,	tpNieznany,	n

jb,	20h,	2,	tpBit,		tpCode8,	tpNieznany,	t
jbc,	10h,	2,	tpBit,		tpCode8,	tpNieznany,	t
